Material Number,SAP Material Description,volume
1053510.0,VITAMINS B+C IV GLAMPX(6+6) 5ML UK,6435000.0
1050818.0,DEMOTON B NEO GLAMP FORM B X10 2ML KAZAK,3190000.0
42312121.0,SUBLIMAZE 0.05MG/ML GLAMP X10 2ML AU,2925000.0
1053118.0,GENTAMICIN 40MG/ML GLAMP X5 2ML UK,2750000.0
42311114.0,DIPIDOLOR 7.5MG/ML GLAMP X10 2ML DE/AT,2625000.0
951611.0,ONDANSETRON 4MG BTX5 GLAMP 2ML UK,2530000.0
950402.0,TRIAN 1G GLAMP X5 5ML GR MK,2100000.0
42321113.0,SUFEN-MIT10 0.005MG/MLGLAMPX5(50)10ML DE,1860000.0
951509.0,NORADREN 1MG/ML GLAMP FORMB X10 4ML GR,1680000.0
1050716.0,CARTAN 1G GLAMP FORM B  X5 5ML TURKMEN,1575000.0
951611.0,ONDANSETRON 4MG BTX5 GLAMP 2ML UK/IE,1430000.0
42310111.0,DIPIDOLOR 10MG/ML GLAMP X10 2ML NL,1350000.0
42321112.0,SUFENTA 0.005MG/ML GLAMP X10 10ML FR,1282500.0
42311113.0,DIPIDOLOR 7.5MG/ML GLAMPX5 2ML CZ,1125000.0
42323112.0,SUFENTA 0.05MG/ML GLAMPX5 (25) 5ML DE,1092000.0
1000615.0,DEMOTON T GLAMP X1 10ML KAZAKSTAN,1040000.0
1050713.0,CARTAN 1G GLAMP FORM B  X5 5ML UZBEK,945000.0
1050710.0,CARTAN 1G GLAMP FORM B  X5 5ML AZER,945000.0
42323117.0,SUFENTANIL PIR. 0.05MG/ML GLAMPX5 5ML IT,896000.0
950116.0,ADRENALINE 1MG GLAMPX10 1ML FORM B UK,880000.0
950115.0,EPINEPHRIN 1MG GLAMPX10 1ML FORMB BR DE,880000.0
1052810.0,DEXAMETHAS PHOS 4MG/ML GLAMPX50 1ML UNIC,864000.0
,ONDAN SOL4MG/2MLX5(ΦΥΣ.ΑΝ.ΤΥΠ)MYLANFRANC,850000.0
,OND IV  8MG/4ML X 5 MYLAN UK,845000.0
1050813.0,DEMOTON B NEO GLAMP FORM B X10 2ML AZER,770000.0
953215.0,ADRENALINE 1MG GLAMPX50 1ML FORM B JO,750000.0
1053110.0,GENTAMICIN 40MG/ML GLAMP X50 2ML UNICEF,750000.0
42317116.0,RAPIFEN 0.5MG/ML GLAMP X10 2ML UK,750000.0
1050514.0,DEMOTON B12 GLAMP FORM B X5 5ML KAZAK,735000.0
1051018.0,DICLOFENAC 75MG GLAMP FORM BX5 3ML ICRC,735000.0
1051019.0,DICLOFENAC 75MG GLAMP FORM BX5 3ML UNICE,735000.0
1053119.0,GENTAMICIN 40MG/ML GLAMP X20 2ML ΑU,705000.0
,ONDAN SOL8MG/4MLX5(ΦΥΣ.ΑΝ.ΤΥΠ)MYLANFRANC,682500.0
1000610.0,DEMOTON T GLAMP X1 10ML AZER,676000.0
42320113.0,SUFENTA 0.005MG/ML GLAMPX5 (50) 2ML DE,666000.0
1050714.0,CARTAN 1G GLAMP FORM B  X5 5ML KAZAK,662500.0
,OND IV  4MG/2ML X 5 MYLAN UK,635000.0
42314114.0,FENTANYL 0.05MG/ML GLAMP X5 (50) 10ML DE,630000.0
42314111.0,FENTANYL 0.05MG/ML GLAMP X10 10ML FR,627000.0
42322113.0,SUFENTANIL PIR. 0.05MG/ML GLAMPX5 1ML IT,616000.0
