Row Labels,Sum of Pack slot ΒΟ,Sum of Pack slot Q1,Sum of Pack slot Q2,Sum of Pack slot Q3,Sum of Pack slot Q4,Unnamed: 6
0002ml,52,95,95,64,86,
DEMO,40,38,48,42,40,
5,16,20,12,11,10,
10,20,14,19,19,20,
20,4,4,17,12,10,
Piramal,12,57,47,22,46,
5,1,18,20,13,16,
10,11,39,27,9,30,
0005ml,28,20,24,28,30,
DEMO,28,20,24,28,30,
5,27,13,18,23,24,
10,1,6,5,4,6,
20,,1,1,1,,
0010ml,96,27,48,52,66,
DEMO,96,27,48,52,66,
1,94,11,46,37,62,
5,,10,,9,2,
10,2,2,2,2,2,
20,,4,,4,,
Grand Total,176,142,167,144,182,
packaging line,Marchesini GL,,,,,
Row Labels,Sum of BO&Q1 pack slot,Sum of BO&Q1 points,Sum of Pack slot ΒΟ,Sum of Point BO,Sum of Pack slot Q1,Sum of Point Q1
0002ml,147,152213,52,120682,95,31531
DEMO,78,110273,40,96036,38,14237
5,36,44343,16,36363,20,7980
10,34,55502,20,50057,14,5445
20,8,10428,4,9616,4,812
Piramal,69,41940,12,24646,57,17294
5,19,6770,1,1304,18,5466
10,50,35170,11,23342,39,11828
0005ml,48,107134,28,99585,20,7549
DEMO,48,107134,28,99585,20,7549
5,40,100017,27,95181,13,4836
10,7,6816,1,4404,6,2412
20,1,301,,,1,301
0010ml,123,587456,96,426964,27,160492
DEMO,123,587456,96,426964,27,160492
1,105,495000,94,410556,11,84444
5,10,44036,,,10,44036
10,4,16816,2,16408,2,408
20,4,31604,,,4,31604
Grand Total,318,846803,176,647231,142,199572
